cod_fonte,taxon,nom_pt,nom_art,obs,classificação,n_amostra,idade,un_idade,local_coleta,pais_coleta,parte,peso (seco/úmido),ag ,disp_sd_ag,al ,disp_se_al,cd ,disp_se_cd,disp_sd_cd,disp_sem_cd,co ,disp_se_co,disp_sd_co,cr,disp_sd_cr,cu,disp_se_cu,disp_sem_cu,disp_sd_cu,fe,disp_se_fe,disp_sem_fe,disp_sd_sd,mn,disp_sem_mn,disp_se_mn,disp_sd_mn,pb,disp_sem_pb,disp_sd_pb,se,disp_sd_se,disp_se_se,zn,disp_se_zn,disp_sem_zn,disp_sd_zn,ca ,disp_se_ca,disp_sem_ca,k ,disp_se_k,disp_sem_k,mg,disp_se_mg,disp_sem_mg,na,disp_se_na,disp_sem_na,p,disp_se_p,disp_sem_p,ba,disp_se_ba,disp_sd_ba,mo,disp_se_mo,disp_sd_mo,s,disp_se_s,ptn,disp_rmse_lip,disp_sem_ptn,disp_se_ptn,disp_sd_ptn,lip,disp_rmse_lip,disp_sem_lip,disp_se_lip,disp_sd_lip,PUFA,disp_sd_PUFA,disp_rmse_PUFA,disp_se_PUFA,dis_sem_PUFA,w3,disp_rmse_w3,disp_sem_w3,disp_sd_w3,disp_se_w3,w6,disp_rmse_w6,disp_sem_w6,disp_sd_w6,disp_se_w6,Ti,disp_sd_ti
17,Tayassu tajacu,cateto,peccaries,pressão 100,mamifero,4,38,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81,,,,1.02,0.77,,,,0.006,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 200,mamifero,4,38,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62,,,,1.05,0.76,,,,0.005,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 300,mamifero,4,38,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.56,,,,1.07,0.66,,,,0.003,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 400,mamifero,4,38,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.06,,,,1.06,0.52,,,,0.006,,,,,,,,,,,,,,,,,
18,Sus scrofa ,javali,wild boar,,mamifero,16,"17,4 ± 4,51 ",mes,"Maremma (SM), na província de Viterbo",Itália,Longissimus thoracis (LT),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20,0.945,,,,3.13,1.164,,,,0.955902,,0.2092405,,,0.080128,0.0053523,,,,0.875461,0.1970648,,,,,
18,Sus scrofa ,javali,wild boar,,mamifero,16,"17,4 ± 4,51",mes,sub-Apeninos (SA) na província de Viterbo,Itália,Longissimus thoracis (LT),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67,0.945,,,,2.66,1.164,,,,0.794276,,0.177821,,,0.093366,0.0045486,,,,0.70091,0.1667554,,,,,
18,Sus scrofa ,javali,wild boar,,mamifero,16,"17,4 ± 4,51",mes,Mar Tirreno (TC) na província de Roma,Itália,Longissimus thoracis (LT),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.84,0.945,,,,2.54,1.164,,,,0.75692,,0.169799,,,0.071628,0.0043434,,,,0.685292,01592326,,,,,
19,Tayassu pecari,queixada,Huangana,,mamifero,1,,,Iquitos,Peru,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00037719,,,,0.0222181,,,0.1570768,,,,,,0.0284185,,,0.0010334,,,,,,,,,,,24.84,,,,0.07,3.61,,,,0.04,,,,,,,,,,,,,,,,,
19,Cuniculus paca,paca,Majas,,mamifero,1,,,Iquitos,Peru,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028207,,,,0.188048,,,0.1238664,,,,,,0.0261632,,,0.0016352,,,,,,,,,,,27.78,,,,3.50,1.55,,,,0.04,,,,,,,,,,,,,,,,,
19,Pecari tajacu,catitu,Sajino,,mamifero,1,,,Iquitos,Peru,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035875,,,,0.27125,,,0.1378125,,,,,,0.0245,,,0.0013125,,,,,,,,,,,27.75,,,,0.10,0.64,,,,0.02,,,,,,,,,,,,,,,,,
19,Chelonoidis denticulata,jabuti-tinga,motel,,reptil,1,,,Iquitos,Peru,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018801,,,,0.11874,,,0.063328,,,,,,0.0106866,,,0.0007916,,,,,,,,,,,14.70,,,,0.01,0.29,,,,0.01,,,,,,,,,,,,,,,,,
20,Podocnemis expansa,Tartaruga-da-Amazônia,Tartaruga-da-Amazônia,,reptil,15,,,Piagaçú-Purus,Brasil,músculo (pata traseira),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58,,,,0.14,1.90,,,,0.17,,,,,,,,,,,,,,,,,
20,Podocnemis expansa,Tartaruga-da-Amazônia,Tartaruga-da-Amazônia,,reptil,15,,,Piagaçú-Purus,Brasil,músculo (pata dianteira),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20,,,,0.36,1.62,,,,0.19,,,,,,,,,,,,,,,,,
20,Podocnemis expansa,Tartaruga-da-Amazônia,Tartaruga-da-Amazônia,,reptil,15,,,Piagaçú-Purus,Brasil,músculo (filé),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90,,,,0.22,1.30,,,,0.12,,,,,,,,,,,,,,,,,
20,Podocnemis expansa,Tartaruga-da-Amazônia,Tartaruga-da-Amazônia,,reptil,15,,,Piagaçú-Purus,Brasil,viscera,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85,,,,0.06,7.87,,,,0.21,,,,,,,,,,,,,,,,,
21,Peltocephalus dumerilianus ,Cabeçudo ,Cabeçudo ,,reptil,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,viscera,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.81,,,,,3.53,,,,,,,,,,,,,,,,,,,,,
21,Pecari tajacu,Catitu,Catitu,,mamifero,5,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45,,,,,1.46,,,,,,,,,,,,,,,,,,,,,
21,Dasyprocta leporina,cutia,cutia,,mamifero,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30,,,,,1.21,,,,,,,,,,,,,,,,,,,,,
21,Podocnemis sextuberculata Cornalia,Iaça,Iaça,,reptil,5,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81,,,,,5.56,,,,,,,,,,,,,,,,,,,,,
21,Caiman crocodilus,Jacaré-tinga,Jacaré-tinga,,reptil,5,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.87,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
21,Agouti paca ,paca,paca,,mamifero,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92,,,,,2.66,,,,,,,,,,,,,,,,,,,,,
21,Podocnemis expansa,tartaruga,tartaruga,,reptil,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17,,,,,1.10,,,,,,,,,,,,,,,,,,,,,
21,Podocnemis unifilis,tracajá,tracajá,,reptil,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30,,,,,1.68,,,,,,,,,,,,,,,,,,,,,
21,Manzama americana ,veado,veado,,mamifero,4,,,"Manaus, Borba, Novo 
Airão e Tefé .",Brasil,músculo,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95,,,,,1.10,,,,,,,,,,,,,,,,,,,,,
22,Caiman yacare,Jacaré-do-Pantanal,Jacaré-do-Pantanal,,reptil,6,,,Cáceres - MT,Brasil,músculo do dorso (occipito-cervicalismedialis),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93,,,,,0.54,,,,,,,,,,,,,,,,,,,,,
22,Caiman yacare,Jacaré-do-Pantanal,Jacaré-do-Pantanal,,reptil,6,,,Cáceres - MT,Brasil,músculo da calda (músculo ílio-ischiocaudalis),úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.83,,,,,5.43,,,,,,,,,,,,,,,,,,,,,
