OBS;Código;Amostra;Reserva;Nome científico;Espécie;Classe;Umidade;Cinzas;Lipídios ;Proteínas;Mg 24 (ug/g);Fe 57 (ug/g);Ag 107 (ng/g);Al 27 (ug/g);Ba 138 (ug/g);Co 59 (ng/g);Cu 63 (ug/g);Zn 66 (ug/g);Se 82 (ng/g);Ti 205 (ng/g);Li 7 (ng/g);Rb 85 (ug/g);Sr 88 (ug/g);Cs 133 (ng/g);Mn 55 (ng/g);Ni 60 (ng/g);U 238 (ng/g);Sb 121 (ng/g);Sn 118 (ng/g);Te 130 (ng/g);Hg 202 (ng/g);As 75 (ng/g);Cd 111 (ng/g);Pb 208 (ng/g)
;006C;A1;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;76.57;4.41;18.55;92.85;79.60;2.72;0.56;0.01;0.01;3.60;0.58;18.47;500.69;5.24;5.30;79.09;0.01;221.13;210.25;0.01;0.14;1.77;9.89;0.65;3435.75;63.42;3.87;0.01
;006C;A2;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;76.57;4.86;17.03;90.83;;;;;;;;;;;;;;;;;;;;;;;;
;006C;A3;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;76.57;4.79;18.57;92.02;;;;;;;;;;;;;;;;;;;;;;;;
;029C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;71.17;4.56;17.68;86.08;615.04;46.64;0.44;726.79;34.31;6.95;02.09;24.22;737.03;1.74;2.73;87.23;274.50;1622.04;217.62;77.49;0.20;6.13;21.54;0.01;0.01;5.50;33.63;182.05
;029C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;71.17;4.61;18.19;86.77;;;;;;;;;;;;;;;;;;;;;;;;
;029C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;71.17;4.52;14.95;86.15;;;;;;;;;;;;;;;;;;;;;;;;
;038C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.26;3.70;22.44;85.21;297.82;23.71;0.01;0.01;0.01;4.84;1.82;48.86;437.40;2.32;10.06;101.83;241.04;473.04;47.92;0.01;0.01;0.00;6.91;0.02;6.18;8.70;9.41;0.01
;038C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.26;3.16;23.53;84.97;;;;;;;;;;;;;;;;;;;;;;;;
;038C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.26;3.30;25.27;85.48;;;;;;;;;;;;;;;;;;;;;;;;
;041C;A1;RDSA;Mazama americana;Veado capoeira;Mamíferos;73.06;4.51;24.58;90.53;313.00;21.01;0.01;12056.64;0.01;4.49;3.52;25.64;339.99;1.95;3.53;39.43;46.55;639.45;97.52;32.50;0.18;3.13;23.20;0.10;3.31;6.54;0.90;0.01
;041C;A2;RDSA;Mazama americana;Veado capoeira;Mamíferos;73.06;4.32;18.18;90.24;;;;;;;;;;;;;;;;;;;;;;;;
;041C;A3;RDSA;Mazama americana;Veado capoeira;Mamíferos;73.06;04.08;15.91;91.70;;;;;;;;;;;;;;;;;;;;;;;;
;043C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;75.58;4.52;20.24;87.68;194.56;25.26;0.01;0.01;0.01;12.52;3.33;58.91;552.87;2.15;38.13;68.99;59.23;430.14;132.09;6.71;0.01;0.46;6.13;0.01;0.01;6.50;2.69;0.01
;043C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;75.58;4.62;16.51;83.78;;;;;;;;;;;;;;;;;;;;;;;;
;043C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;75.58;4.72;26.64;87.60;;;;;;;;;;;;;;;;;;;;;;;;
;044C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;76.52;4.75;5.22;87.16;837.22;53.36;0.01;0.01;147.06;8.15;2.40;84.28;850.46;1.24;9.95;82.10;317.03;1320.23;165.03;38.23;0.02;0.17;13.19;0.08;5.32;10.10;4.15;22.84
;044C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;76.52;4.99;11.08;87.25;;;;;;;;;;;;;;;;;;;;;;;;
;044C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;76.52;4.54;6.84;87.52;;;;;;;;;;;;;;;;;;;;;;;;
