fe,mn,se,zn,k,mg,na,ptn,lip,w3,w6,taxon_tfmed_AA,taxon_tfmed_AP1,taxon_tfmed_AP2,taxon_tfmed_BC,taxon_tfmed_CC1,taxon_tfmed_CC2,taxon_tfmed_CD,taxon_tfmed_CE,taxon_tfmed_CP1,taxon_tfmed_CP2,taxon_tfmed_CY,taxon_tfmed_DL,taxon_tfmed_EQ,taxon_tfmed_MA,taxon_tfmed_OH,taxon_tfmed_OV,taxon_tfmed_PA,taxon_tfmed_PD,taxon_tfmed_PE,taxon_tfmed_PQ,taxon_tfmed_PS,taxon_tfmed_PU,taxon_tfmed_SC,taxon_tfmed_SR,taxon_tfmed_SS,taxon_tfmed_ST,taxon_tfmed_TP1,taxon_tfmed_TP2,taxon_tfmed_TT,genus_agouti,genus_alces,genus_anas,genus_branta,genus_caiman,genus_capreolus,genus_cervus,genus_chelonoidis,genus_columba,genus_cuniculus,genus_dasyprocta,genus_equus,genus_manzama,genus_mazama,genus_odocoileus,genus_pecari,genus_peltocephalus,genus_phacochoerus,genus_podocnemis,genus_scolopax,genus_streptopelia,genus_sus,genus_syncerus,genus_tayassu,genus_turdus,classificacao_ave,classificacao_mamifero,classificacao_reptil,pais_coleta_Africa do Sul,pais_coleta_Alemanha,pais_coleta_Brasil,pais_coleta_Canadá,pais_coleta_EUA,pais_coleta_Espanha,pais_coleta_Estados Unidos da América,pais_coleta_Italia,pais_coleta_Itália,pais_coleta_Letónia ,pais_coleta_Nova Zelândia,pais_coleta_Peru,pais_coleta_Polônia,pais_coleta_África do Sul,pais_coleta_África do sul,partes_tfmed_Musculo,partes_tfmed_Visceras
0.0019,9.151384209548166e-05,1.3e-05,0.0024,0.21987706280520514,0.01815742857142857,0.11166666666666665,22.5,2.1,0.0777,0.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.00321,5.9320955844604335e-05,4e-06,0.00235,0.23959519453099387,0.019586285714285716,0.11166666666666665,23.5,1.0,0.11,0.266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.004041303127520827,0.0001140334204270728,9.547416853162172e-06,0.001838,0.20478613910191512,0.018157428571428574,0.11166666666666665,22.29,1.47,3.22e-05,5.39e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0031537372838639915,7.59e-05,4.62e-06,0.00495,0.26116944466053954,0.018385642857142857,0.118,23.380666666666666,0.47333333333333333,0.10857765558473828,0.03921167808768444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.013630842580672464,0.000396,6.6e-06,0.0033,0.10544390675927462,0.019585714285714286,0.118,23.521333333333327,0.47333333333333333,0.1956925894395337,1.145260017486249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.01363083614541314,0.0002178,0.000132,0.00429,0.10544556820803663,0.019585714285714286,0.118,23.697999999999993,0.47333333333333333,0.19569266570734262,1.1452576708928004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.015131,0.000214,6.892983866826994e-05,0.00204,8.2e-08,0.015988,0.11166666666666665,23.697999999999997,1.0533333333333335,0.19599922061365668,1.348317378958806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.013225,0.000211,6.892621817540301e-05,0.001924,1.4e-08,0.016113,0.11166666666666665,23.613999999999997,1.0533333333333335,0.19599908047194478,1.34821966731224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0048206103308810165,0.00014257041087720543,1.607307305119543e-06,0.0018112658333333332,0.2648513911693949,0.017086,0.0769205,24.0,2.75,0.00019684,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.006686518745354378,0.0001781932234188341,2.5544044029369084e-05,0.0017043333333333335,0.21098329226300538,0.01815742857142857,0.11166666666666665,21.05,2.6,0.00017492,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
